사업번호,사업명,문서_소관기관,소관기관_정규화,분야_정규화,부문_정규화,프로그램_정규화,회계기금_정규화,지원형태_정규화,예산2026_통합_백만원,예산2026_통합_억원,2026열1_라벨,2026열2_라벨,2026열1_백만원,2026열2_백만원,내역사업_건수,사업시행방법,사업시행주체
288,FIU 전산망 구축·운영(정보화),금융위원회,금융위원회,일반·지방행정,재정·금융,자금세탁방지시스템 선진화,일반회계,직접,4801.0,48.01,요구안,본예산(B),4801.0,4801.0,1,직접수행,금융위원회 금융정보분석원
289,산업은행 출자(국민성장펀드),금융위원회,금융위원회,일반·지방행정,재정·금융,산업금융지원,일반회계,출자,1000000.0,10000.0,요구안,본예산(B),1000000.0,1000000.0,1,산업은행 출자,국민성장펀드 사무국
290,신용정보(정보화),금융위원회,금융위원회,산업·중소기업 및 에너지,산업금융지원,신용보증금융지원,신용보증기금,직접,2244.0,22.44,요구안,본예산(B),4911.0,2244.0,1,직접수행,신용보증기금
291,기상업무지원기술개발연구(R&D),기상청,기상청,과학기술,과학기술일반,책임행정기관 운영,일반회계,직접,34801.0,348.01,요구안,본예산(B),34801.0,34801.0,1,직접수행,기상청 국립기상과학원
292,기후위기 대응 국가기후예측시스템 개발(R&D),기상청,기상청,과학기술,과학기술일반,기상연구,일반회계,출연,7300.0,73.0,요구안,본예산(B),7300.0,7300.0,1,출연,기상청(한국기상산업기술원 대행)
293,선진예보시스템 구축 및 운영,기상청,기상청,과학기술,과학기술일반,기상예보,일반회계,직접,6780.0,67.8,요구안,본예산(B),6780.0,6780.0,1,직접수행,기상청
294,디지털예산회계시스템 운영(정보화),기획예산처,기획예산처,일반·지방행정,재정·금융,재정기획,일반회계,"직접, 출연",22317.0,223.17,정부안,확정(B),21941.0,22317.0,1,"직접수행, 출연",(직접수행) 기획예산처 / (출연) 한국재정정보원
295,AI 기반 분산전력망 산업 육성,기후에너지환경부,기후에너지환경부,산업·중소기업 및 에너지,에너지 및 자원개발,재생에너지 및 에너지신산업활성화,전력산업 기반기금,보조,217116.0,2171.16,정부안,확정(B),217116.0,217116.0,2,보조,한국에너지공단
296,AI기반무탄소에너지핵심기술 개발(R&D),기후에너지환경부,기후에너지환경부,과학기술,과학기술 연구개발,탄소중립기반구축,기후대응기금,출연,3400.0,34.0,정부안,확정(B),3400.0,3400.0,1,출연,"대학, 출연연, 기업 등"
297,AI 기반 분산·예비전력 안전관리 통합 플랫폼 개발 및 실증(R&D),기후에너지환경부,기후에너지환경부,산업·중소기업 및 에너지,에너지 및 자원개발,에너지자원정책,전력산업 기반기금,출연,9446.0,94.46,정부안,확정(B),9446.0,9446.0,1,"출연(Matching Fund, 연구수행형태에 따라 33~100% 정부지원)",한국에너지기술평가원
298,AI응용제품 신속 상용화 지원사업(환경),기후에너지환경부,기후에너지환경부,환경,환경일반,환경연구 및 교육,환경개선 특별회계,출연,30500.0,305.0,정부안,확정(B),50000.0,30500.0,1,출연(국고지원 및 민간부담금(민간30%)),한국환경산업기술원
299,K-그리드 인재·창업 밸리 조성,기후에너지환경부,기후에너지환경부,산업·중소기업 및 에너지,에너지 및 자원개발,에너지자원정책,전력산업 기반기금,출연,24500.0,245.0,정부안,확정(B),24500.0,24500.0,2,출연,한국에너지공과대학교
300,광역상수도 안정화,기후에너지환경부,기후에너지환경부,국토 및 지역개발,수자원,맑은물 공급・이용(광역),일반회계,출자,48705.0,487.05,정부안,확정(B),73643.0,48705.0,1,"출자, 국고 30%",한국수자원공사
301,국가하천유지보수,기후에너지환경부,기후에너지환경부,국토 및 지역개발,수자원,하천관리,일반회계,"직접, 보조",296948.0,2969.48,정부안,확정(B),296948.0,296948.0,1,"직접수행(5대강 치수시설), 보조(5대강 친수시설, 83개 국가하천 치수시설․친수시설), 민간위탁(16개 다기능보 및 아라천)","직접수행(7개 유역·지방환경청), 보조(17개 광역시·도), 민간위탁(한 국수자원공사)"
302,국립생태원 출연,기후에너지환경부,기후에너지환경부,환경,자연환경,자연생태 보전,환경개선 특별회계,출연,76928.0,769.28,정부안,확정(B),76928.0,76928.0,1,출연(수지차),국립생태원
303,극한지스마트광역탐사를위한 로봇-ICT융합기술개발(R&D),기후에너지환경부,기후에너지환경부,교통 및 물류,물류 등 기타,탄소중립기반구축,기후대응기금,출연,3500.0,35.0,정부안,확정(B),3500.0,3500.0,1,출연,해양수산부(전문기관: 해양수산과학기술진흥원)
304,기후변화 적응 수재해 관리 기술개발사업(R&D),기후에너지환경부,기후에너지환경부,환경,물환경,맑은물 공급·이용,환경개선 특별회계,출연,29897.0,298.97,정부안,확정(B),29897.0,29897.0,1,출연,환경부(한국환경산업기술원)
305,기후변화 적응을 위한 생태계 복원 및 관리 기술개발사업,기후에너지환경부,기후에너지환경부,환경,자연환경,자연생태 보전,환경개선 특별회계,출연,5900.0,59.0,정부안,확정(B),5900.0,5900.0,1,출연,환경부(한국환경산업기술원 대행)
306,대기오염측정망 구축·운영,기후에너지환경부,기후에너지환경부,환경,기후대기 및 환경안전,대기환경보전,환경개선 특별회계,"직접, 보조",48182.0,481.82,정부안,확정(B),47356.0,48182.0,6,"직접수행, 지자체 보조","기후에너지환경부, 지자체"
307,데이터센터탄소중립을위한 열관리기술개발,기후에너지환경부,기후에너지환경부,산업·중소기업 및 에너지,산업혁신 지원,탄소중립기반구축,기후대응기금,출연,1600.0,16.0,정부안,확정(B),1600.0,1600.0,1,출연,한국산업기술기획평가원
308,디지털 담수화 플랜트 농축수 자원화 기술개발사업(R&D),기후에너지환경부,기후에너지환경부,환경,물환경,맑은물 공급·이용,환경개선 특별회계,출연,7800.0,78.0,정부안,확정(B),7800.0,7800.0,2,출연,환경부(한국환경산업기술원 대행)
309,무탄소에너지핵심기술개발,기후에너지환경부,기후에너지환경부,과학기술,과학기술 연구개발,탄소중립기반구축,기후대응기금,출연,70052.0,700.52,정부안,확정(B),68827.0,70052.0,3,출연,산·학·연 등
310,물산업정책 및 국제협력,기후에너지환경부,기후에너지환경부,국토 및 지역개발,수자원,수자원정책 및 홍수관리,일반회계,"직접, 보조",7919.0,79.19,정부안,확정(B),6919.0,7919.0,1,"직접수행, 보조, 국제부담금 등","환경부, 유네스코 물안보센터, 아시아물위원회 등"
311,미래변화 대응 수자원 안정성 확보 기술개발사업(R&D),기후에너지환경부,기후에너지환경부,교통 및 물류,물류 등 기타,수자원정책 및 홍수관리,일반회계,출연,22380.0,223.8,정부안,확정(B),22380.0,22380.0,1,출연,환경부(한국환경산업기술원 대행)
